id,adress,dv2day,dv2week,dv2moun,dv1r,dv2r,dv3r,dv6raz,dv6time,Sred,posl_znach,pokazat.skoros,TDS,TDSdata
176,"Федьковича, 38",,,1,rabotaet,nerabotaet,rabotaet,0,,30.3,30.3,0.0,7,2025-10-29
112,"Франка, 69",,,,rabotaet,nerabotaet,rabotaet,0,,,,,17,2025-10-24
246,"Хмельницького, 257",,,,rabotaet,nerabotaet,rabotaet,0,,,,,8,2025-11-08
185,"Хмельницького, 76",,,,rabotaet,rabotaet,rabotaet,0,,66.1,66.1,0.0,4,2025-11-08
256,"Художня, 4",,,,rabotaet,nerabotaet,rabotaet,0,,,,,45,2025-10-31
317,"Цегельского, 10",,,7,nerabotaet,nerabotaet,rabotaet,0,,29.6,29.6,0.0,25,2025-11-07
278,"Чупринки, 84",,3,3,nerabotaet,nerabotaet,nerabotaet,0,,,,,21,2025-10-28
104,"Шевченка, 111",,,26,rabotaet,rabotaet,rabotaet,0,,16.0,14.6,1.4,7,2025-10-24
247,"Шевченка, 31б",,,622,rabotaet,rabotaet,rabotaet,0,,,,,17,2025-10-29
189,"Шевченка, 45",,,5,rabotaet,nerabotaet,rabotaet,0,,,,,12,2025-10-31
177,"Шевченка, 80",,,22,rabotaet,nerabotaet,rabotaet,0,,24.2,24.2,0.0,22,2025-07-28
210,"Широка, 96а",,,13,rabotaet,nerabotaet,rabotaet,0,,33.4,33.4,0.0,20,2025-10-29
123,"Щурата, 9",,,1,nerabotaet,nerabotaet,rabotaet,0,,11.95,12.4,-0.45,15,2025-11-08
211,"Яворницького, 8",,,,nerabotaet,nerabotaet,rabotaet,0,,38.9,38.9,0.0,5,2025-10-27
