id,name,lat,lon
246,"Хмельницького, 257 Близенько 2.00 грн",49.86965,24.05617
185,"Хмельницького, 76 Близенько 2.00 грн",49.85304,24.03624
256,"Художня, 4  Близенько 2.00 грн",49.83108,24.00039
317,"Цегельского, 10  Близенько 2.00 грн",49.8218,24.00033
278,"Чупринки, 84  Близенько  2.00 грн",49.82865,24.00552
104,"Шевченка, 111 Близенько 1.50 грн",49.85068,23.99142
247,"Шевченка, 31б  Близенько 2.00 грн",49.84448,24.00598
189,"Шевченка, 45  Близенько 1.50 грн",49.84675,24.00401
177,"Шевченка, 80 Близенько  1.50 грн",49.84694,24.00436
210,"Широка, 96а  Близенько 1.50 грн",49.84452,23.95988
322,"Шолом-Алейхема, 20 Сімі 2.00 грн",49.84506,24.02028
123,"Щурата, 9  Близенько 1.50 грн",49.88085,24.03728
260,"Юнаківа,9б  Сім23 1.50 грн",,
211,"Яворницького, 8  Близенько 2.00 грн",49.82534,23.97623
