device_id,address,date,card_id,sum,banknotes,coins,descr
238,"Під Голоском,  24б   Близенько 1.50 грн",2025-10-23 19:15:03,9586,0.00,2.00,0.00,  - 
238,"Під Голоском,  24б   Близенько 1.50 грн",2025-10-23 19:15:08,9586,0.00,0.00,819.50,  - 
238,"Під Голоском,  24б   Близенько 1.50 грн",2025-10-27 11:24:39,9586,0.00,0.00,131.00,  - 
238,"Під Голоском,  24б   Близенько 1.50 грн",2025-10-27 11:24:45,9586,0.00,0.00,0.00,  - 
182,"Повітряна, 78  Близенько 2.00 грн",2025-10-31 18:53:30,24662,0.00,1131.00,0.00,Р”РјРёС‚СЂРѕ  - 
182,"Повітряна, 78  Близенько 2.00 грн",2025-10-31 18:53:38,24662,0.00,0.00,1566.00,Р”РјРёС‚СЂРѕ  - 
86,"просп. Свободи, 1/3 Близенько  2.00 грн",2025-10-26 21:35:03,23129,0.00,4220.00,0.00,Р†РіРѕСЂ  - 
86,"просп. Свободи, 1/3 Близенько  2.00 грн",2025-10-26 21:35:09,23129,0.00,0.00,4331.50,Р†РіРѕСЂ  - 
86,"просп. Свободи, 1/3 Близенько  2.00 грн",2025-11-14 15:59:05,23129,0.00,3169.00,0.00,Р†РіРѕСЂ  - 
86,"просп. Свободи, 1/3 Близенько  2.00 грн",2025-11-14 15:59:12,23129,0.00,0.00,2678.00,Р†РіРѕСЂ  - 
218,"просп.В.Чорновола,  7а  Близенько  2.00 грн",2025-11-06 17:25:46,23129,0.00,4493.00,0.00,Р†РіРѕСЂ  - 
218,"просп.В.Чорновола,  7а  Близенько  2.00 грн",2025-11-06 17:25:51,23129,0.00,0.00,5119.00,Р†РіРѕСЂ  - 
113,"просп.В.Чорновола, 101  Близенько 2.00 грн",2025-10-28 21:02:43,0,0.00,2404.00,0.00,
113,"просп.В.Чорновола, 101  Близенько 2.00 грн",2025-10-28 21:02:49,0,0.00,0.00,36.06,
113,"просп.В.Чорновола, 101  Близенько 2.00 грн",2025-11-17 18:10:12,0,0.00,1682.00,0.00,
113,"просп.В.Чорновола, 101  Близенько 2.00 грн",2025-11-17 18:10:15,0,0.00,0.00,42.92,
264,"просп.В.Чорновола, 55  Близенько 2.00 грн",2025-11-06 16:21:55,9586,0.00,2572.00,0.00,  - 
264,"просп.В.Чорновола, 55  Близенько 2.00 грн",2025-11-06 16:22:01,9586,0.00,0.00,4805.50,  - 
192,"просп.В.Чорновола, 67ж  Близенько 1.50 грн",2025-11-06 21:09:51,0,0.00,536.00,0.00,
192,"просп.В.Чорновола, 67ж  Близенько 1.50 грн",2025-11-06 21:10:00,0,0.00,0.00,301.06,
124,"просп.В.Чорновола, 69  Близенько 2.00 грн",2025-11-06 20:56:16,23129,0.00,441.00,0.00,Р†РіРѕСЂ  - 
124,"просп.В.Чорновола, 69  Близенько 2.00 грн",2025-11-06 20:56:20,23129,0.00,0.00,4171.50,Р†РіРѕСЂ  - 
314,"Пулюя, 29  Близенько 2.00 грн",2025-10-27 17:46:43,14147,0.00,2328.00,0.00,Р СѓСЃР»Р°РЅ  - 
314,"Пулюя, 29  Близенько 2.00 грн",2025-10-27 17:46:50,14147,0.00,0.00,4299.00,Р СѓСЃР»Р°РЅ  - 
279,"Пулюя, 40  Близенько 1.50 грн",2025-10-27 17:37:21,0,0.00,501.00,0.00,
53,"Родини Крушельницьких, 1а  Близенько 2.00 грн",2025-10-31 13:05:59,14147,0.00,6635.00,0.00,Р СѓСЃР»Р°РЅ  - 
53,"Родини Крушельницьких, 1а  Близенько 2.00 грн",2025-10-31 13:06:06,14147,0.00,0.00,6980.00,Р СѓСЃР»Р°РЅ  - 
204,"Роксоляни, 57  Близенько 2.00 грн",2025-10-25 11:46:05,24662,0.00,2007.00,0.00,Р”РјРёС‚СЂРѕ  - 
204,"Роксоляни, 57  Близенько 2.00 грн",2025-10-25 11:46:12,24662,0.00,0.00,4141.00,Р”РјРёС‚СЂРѕ  - 
276,"Рудненська,  8ж  Близенько 2.00 грн",2025-10-21 19:45:07,0,0.00,2947.00,0.00,
276,"Рудненська,  8ж  Близенько 2.00 грн",2025-10-21 19:45:12,0,0.00,0.00,2412.50,
276,"Рудненська,  8ж  Близенько 2.00 грн",2025-10-31 19:19:49,24662,0.00,857.00,0.00,Р”РјРёС‚СЂРѕ  - 
276,"Рудненська,  8ж  Близенько 2.00 грн",2025-10-31 19:20:02,24662,0.00,0.00,1156.50,Р”РјРёС‚СЂРѕ  - 
296,"Садівнича, 27 Близенько 2.00 грн",2025-10-30 12:43:27,14147,0.00,3048.00,0.00,Р СѓСЃР»Р°РЅ  - 
296,"Садівнича, 27 Близенько 2.00 грн",2025-10-30 12:43:34,14147,0.00,0.00,2716.50,Р СѓСЃР»Р°РЅ  - 
121,"Сахарова, 60 Близенько 2.00 грн",2025-11-03 20:35:01,24662,0.00,2587.00,0.00,Р”РјРёС‚СЂРѕ  - 
121,"Сахарова, 60 Близенько 2.00 грн",2025-11-03 20:35:20,24662,0.00,0.00,2403.50,Р”РјРёС‚СЂРѕ  - 
12,"Січових Стрільців, 13 Близенько 2.00 грн",2025-10-25 22:09:56,23129,0.00,2997.00,0.00,Р†РіРѕСЂ  - 
12,"Січових Стрільців, 13 Близенько 2.00 грн",2025-10-25 22:10:03,23129,0.00,0.00,2857.50,Р†РіРѕСЂ  - 
12,"Січових Стрільців, 13 Близенько 2.00 грн",2025-11-11 21:28:41,23129,0.00,3477.00,0.00,Р†РіРѕСЂ  - 
12,"Січових Стрільців, 13 Близенько 2.00 грн",2025-11-11 21:28:49,23129,0.00,0.00,3454.50,Р†РіРѕСЂ  - 
12,"Січових Стрільців, 13 Близенько 2.00 грн",2025-11-17 22:47:22,23129,0.00,908.00,0.00,Р†РіРѕСЂ  - 
12,"Січових Стрільців, 13 Близенько 2.00 грн",2025-11-17 22:47:34,23129,0.00,0.00,1089.00,Р†РіРѕСЂ  - 
183,"Скорини, 44 Близенько 1.50 грн",2025-10-25 16:30:38,14147,0.00,153.00,0.00,Р СѓСЃР»Р°РЅ  - 
183,"Скорини, 44 Близенько 1.50 грн",2025-10-25 16:30:51,14147,0.00,0.00,640.00,Р СѓСЃР»Р°РЅ  - 
228,"Сокільники, Весняна, 18 Близенько 1.50 грн",2025-10-31 20:23:19,24662,0.00,2388.00,0.00,Р”РјРёС‚СЂРѕ  - 
228,"Сокільники, Весняна, 18 Близенько 1.50 грн",2025-10-31 20:23:24,24662,0.00,0.00,2197.50,Р”РјРёС‚СЂРѕ  - 
302,"Сокільники, Г.Сковороди, 56  Близенько 1.50 грн",2025-10-31 19:52:02,24662,0.00,1084.00,0.00,Р”РјРёС‚СЂРѕ  - 
302,"Сокільники, Г.Сковороди, 56  Близенько 1.50 грн",2025-10-31 19:52:14,24662,0.00,0.00,630.00,Р”РјРёС‚СЂРѕ  - 
217,"Сокільники, Героїв Майдану, 17в Близенько 2.00 грн",2025-10-27 18:13:29,14147,0.00,1725.00,0.00,Р СѓСЃР»Р°РЅ  - 
217,"Сокільники, Героїв Майдану, 17в Близенько 2.00 грн",2025-10-27 18:13:45,14147,0.00,0.00,1475.50,Р СѓСЃР»Р°РЅ  - 
341,"Сокільники, Збройних сил України, 2 1.50 грн",2025-10-28 13:27:43,24662,0.00,2628.00,0.00,Р”РјРёС‚СЂРѕ  - 
