device_id,address,date,name,state,sens_val,descr
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-20 13:51:42,dv4,on,950,Тиск-дренаж1
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-20 13:51:42,dv5,off,950,нижній давач в баці переливу
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-22 15:26:24,dv6,off,950,нижній давач в баці переливу
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-20 13:51:42,dv7,off,950,верхній давач в баці переливу
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-20 13:51:42,dv8,off,950,піддон
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-23 08:47:45,dv1,off,950,наявність води на вході
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-20 17:33:01,dv2,on,60,нижній рівень води в накопичувальному баці
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-23 08:20:03,dv3,on,60,верхній рівень води в накопичувальному баці
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-20 17:33:01,dv4,on,950,Тиск-дренаж1
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-20 17:33:01,dv5,off,950,нижній давач в баці переливу
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-20 17:33:01,dv6,off,950,нижній давач в баці переливу
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-20 17:33:01,dv7,off,950,верхній давач в баці переливу
116,"В.Великого, 35а Близенько 2.00 грн",2025-11-20 17:33:01,dv8,off,950,піддон
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-23 08:49:43,dv1,on,60,наявність води на вході
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-23 08:49:43,dv2,on,60,нижній рівень води в накопичувальному баці
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-23 08:49:43,dv3,off,950,верхній рівень води в накопичувальному баці
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-23 08:49:43,dv4,on,950,Тиск-дренаж1
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-23 08:49:43,dv5,off,950,нижній давач в баці переливу
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-23 08:49:43,dv6,off,950,нижній давач в баці переливу
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-23 08:49:43,dv7,off,950,верхній давач в баці переливу
221,"В.Великого, 75  Близенько 1.50 грн",2025-11-23 08:49:43,dv8,off,950,піддон
259,"Васильківського,9  Сім23 1.50 грн",2025-11-23 05:19:18,dv1,off,950,наявність води на вході
259,"Васильківського,9  Сім23 1.50 грн",2025-11-13 11:16:19,dv2,on,60,нижній рівень води в накопичувальному баці
259,"Васильківського,9  Сім23 1.50 грн",2025-11-23 05:16:48,dv3,on,60,верхній рівень води в накопичувальному баці
259,"Васильківського,9  Сім23 1.50 грн",2025-11-13 11:16:19,dv4,off,950,Тиск-дренаж1
259,"Васильківського,9  Сім23 1.50 грн",2025-11-13 11:16:19,dv5,off,950,нижній давач в баці переливу
259,"Васильківського,9  Сім23 1.50 грн",2025-11-13 11:16:19,dv6,off,950,нижній давач в баці переливу
259,"Васильківського,9  Сім23 1.50 грн",2025-11-13 11:16:19,dv7,off,950,верхній давач в баці переливу
259,"Васильківського,9  Сім23 1.50 грн",2025-11-13 11:16:19,dv8,off,950,піддон
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-22 22:26:30,dv1,off,950,наявність води на вході
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-20 03:30:06,dv2,on,60,нижній рівень води в накопичувальному баці
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-22 22:20:18,dv3,on,60,верхній рівень води в накопичувальному баці
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-20 03:30:06,dv4,on,950,Тиск-дренаж1
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-20 03:30:06,dv5,off,950,нижній давач в баці переливу
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-20 03:30:06,dv6,off,950,нижній давач в баці переливу
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-20 03:30:06,dv7,off,950,верхній давач в баці переливу
254,"Вашингтона, 4в Близенько 2.00 грн",2025-11-20 03:30:06,dv8,off,950,піддон
327,"Веливока, 9 Близенько 2.00 грн",2025-11-23 09:25:49,dv1,off,950,наявність води на вході
327,"Веливока, 9 Близенько 2.00 грн",2025-11-13 21:33:44,dv2,on,60,нижній рівень води в накопичувальному баці
327,"Веливока, 9 Близенько 2.00 грн",2025-11-23 09:20:39,dv3,on,60,верхній рівень води в накопичувальному баці
327,"Веливока, 9 Близенько 2.00 грн",2025-11-13 21:33:44,dv4,off,950,Тиск-дренаж1
327,"Веливока, 9 Близенько 2.00 грн",2025-11-13 21:33:44,dv5,off,950,нижній давач в баці переливу
327,"Веливока, 9 Близенько 2.00 грн",2025-11-23 09:08:23,dv6,off,950,нижній давач в баці переливу
327,"Веливока, 9 Близенько 2.00 грн",2025-11-13 21:33:44,dv7,off,950,верхній давач в баці переливу
327,"Веливока, 9 Близенько 2.00 грн",2025-11-13 21:33:44,dv8,off,950,піддон
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-22 22:03:38,dv1,on,60,наявність води на вході
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-17 14:17:31,dv2,on,60,нижній рівень води в накопичувальному баці
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-22 20:06:10,dv3,on,60,верхній рівень води в накопичувальному баці
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-17 14:17:31,dv4,on,60,Тиск-дренаж1
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-17 14:17:31,dv5,on,60,нижній давач в баці переливу
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-17 14:17:31,dv6,off,950,нижній давач в баці переливу
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-17 14:17:31,dv7,off,950,верхній давач в баці переливу
339,"Вербицького, 16  Близенько 1.50 грн",2025-11-17 14:17:31,dv8,off,950,піддон
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-18 08:19:59,dv1,on,60,наявність води на вході
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-15 07:44:18,dv2,on,538,нижній рівень води в накопичувальному баці
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-23 08:16:05,dv3,on,697,верхній рівень води в накопичувальному баці
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-15 07:44:18,dv4,off,950,Тиск-дренаж1
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-15 07:44:18,dv5,off,950,нижній давач в баці переливу
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-21 18:45:34,dv6,off,950,нижній давач в баці переливу
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-15 07:44:18,dv7,off,950,верхній давач в баці переливу
107,"Ветеранів, 5 ОСББ  1.50 грн",2025-11-15 07:44:18,dv8,off,463,піддон
202,"Виговського, 5 Сімі 2.00 грн",2025-11-22 21:52:00,dv1,off,950,наявність води на вході
202,"Виговського, 5 Сімі 2.00 грн",2025-11-20 17:48:29,dv2,on,60,нижній рівень води в накопичувальному баці
202,"Виговського, 5 Сімі 2.00 грн",2025-11-22 21:46:54,dv3,on,60,верхній рівень води в накопичувальному баці
202,"Виговського, 5 Сімі 2.00 грн",2025-11-20 17:48:29,dv4,on,60,Тиск-дренаж1
202,"Виговського, 5 Сімі 2.00 грн",2025-11-20 17:48:29,dv5,on,60,нижній давач в баці переливу
202,"Виговського, 5 Сімі 2.00 грн",2025-11-20 17:48:29,dv6,off,950,нижній давач в баці переливу
202,"Виговського, 5 Сімі 2.00 грн",2025-11-20 17:48:29,dv7,off,950,верхній давач в баці переливу
202,"Виговського, 5 Сімі 2.00 грн",2025-11-20 17:48:29,dv8,off,950,піддон
52,"Виговського, 5б Близенько 1.50 грн",2025-11-23 09:34:00,dv1,on,60,наявність води на вході
52,"Виговського, 5б Близенько 1.50 грн",2025-11-22 12:16:06,dv2,on,60,нижній рівень води в накопичувальному баці
52,"Виговського, 5б Близенько 1.50 грн",2025-11-23 09:29:45,dv3,off,950,верхній рівень води в накопичувальному баці
52,"Виговського, 5б Близенько 1.50 грн",2025-11-22 12:16:06,dv4,on,950,Тиск-дренаж1
52,"Виговського, 5б Близенько 1.50 грн",2025-11-22 12:16:06,dv5,off,950,нижній давач в баці переливу
52,"Виговського, 5б Близенько 1.50 грн",2025-11-22 12:16:06,dv6,off,950,нижній давач в баці переливу
52,"Виговського, 5б Близенько 1.50 грн",2025-11-22 12:16:06,dv7,off,950,верхній давач в баці переливу
52,"Виговського, 5б Близенько 1.50 грн",2025-11-22 12:16:06,dv8,off,950,піддон
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-23 09:28:22,dv1,off,950,наявність води на вході
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-20 21:41:56,dv2,on,60,нижній рівень води в накопичувальному баці
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-23 09:24:55,dv3,on,60,верхній рівень води в накопичувальному баці
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-20 21:41:56,dv4,on,60,Тиск-дренаж1
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-20 21:41:56,dv5,on,60,нижній давач в баці переливу
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-20 21:41:56,dv6,off,950,нижній давач в баці переливу
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-20 21:41:56,dv7,off,950,верхній давач в баці переливу
205,"Винники, Винна гора, 10б  Близенько 2.00 грн",2025-11-20 21:41:56,dv8,off,950,піддон
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-23 09:18:48,dv1,off,950,наявність води на вході
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-21 21:04:33,dv2,on,60,нижній рівень води в накопичувальному баці
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-23 09:14:35,dv3,on,60,верхній рівень води в накопичувальному баці
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-21 21:04:33,dv4,on,950,Тиск-дренаж1
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-21 21:04:33,dv5,off,950,нижній давач в баці переливу
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-22 18:24:12,dv6,off,950,нижній давач в баці переливу
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-21 21:04:33,dv7,off,950,верхній давач в баці переливу
126,"Винники, Сахарова, 10 Близенько 2.00 грн",2025-11-21 21:04:33,dv8,off,950,піддон
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-23 04:20:37,dv1,off,950,наявність води на вході
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-21 20:15:09,dv2,on,576,нижній рівень води в накопичувальному баці
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-22 15:37:53,dv3,on,746,верхній рівень води в накопичувальному баці
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-20 21:55:13,dv4,off,950,Тиск-дренаж1
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-20 21:55:13,dv5,off,950,нижній давач в баці переливу
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-20 21:55:13,dv6,off,60,нижній давач в баці переливу
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-20 21:55:13,dv7,off,950,верхній давач в баці переливу
251,"Винники, Франка, 53 Близенько 1.50 грн",2025-11-20 21:55:13,dv8,off,217,піддон
249,"Віденська,9 Рукавичка 1.50 грн",2025-11-23 05:43:17,dv1,off,950,наявність води на вході
249,"Віденська,9 Рукавичка 1.50 грн",2025-11-20 17:35:04,dv2,on,60,нижній рівень води в накопичувальному баці
249,"Віденська,9 Рукавичка 1.50 грн",2025-11-23 05:42:59,dv3,on,60,верхній рівень води в накопичувальному баці
249,"Віденська,9 Рукавичка 1.50 грн",2025-11-20 17:35:04,dv4,on,60,Тиск-дренаж1
249,"Віденська,9 Рукавичка 1.50 грн",2025-11-20 17:35:04,dv5,on,60,нижній давач в баці переливу
249,"Віденська,9 Рукавичка 1.50 грн",2025-11-20 17:35:04,dv6,off,950,нижній давач в баці переливу
249,"Віденська,9 Рукавичка 1.50 грн",2025-11-20 17:35:04,dv7,off,950,верхній давач в баці переливу
249,"Віденська,9 Рукавичка 1.50 грн",2025-11-20 17:35:04,dv8,off,950,піддон
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-23 09:10:51,dv1,off,950,наявність води на вході
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-20 19:27:19,dv2,on,60,нижній рівень води в накопичувальному баці
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-23 09:05:56,dv3,on,60,верхній рівень води в накопичувальному баці
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-20 19:27:19,dv4,on,950,Тиск-дренаж1
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-20 19:27:19,dv5,off,950,нижній давач в баці переливу
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-20 19:27:19,dv6,off,950,нижній давач в баці переливу
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-20 19:27:19,dv7,off,950,верхній давач в баці переливу
215,"Вовчинецька ,194  Близенько 1.50 грн",2025-11-20 19:27:19,dv8,off,950,піддон
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-23 09:32:06,dv1,off,950,наявність води на вході
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-22 21:28:59,dv2,on,60,нижній рівень води в накопичувальному баці
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-23 09:37:28,dv3,off,950,верхній рівень води в накопичувальному баці
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-20 13:13:19,dv4,on,60,Тиск-дренаж1
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-20 13:13:19,dv5,on,60,нижній давач в баці переливу
154,"Гайдамацька, 9а Близенько 2.00 грн",2025-11-20 13:13:19,dv6,off,950,нижній давач в баці переливу
